OTU_ID	taxonomy	alternative classification and confidence	model_category	approx_size (ref)
81324cb74071aaad39704a76947d8d7a	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Calocalanus; species_Calocalanus_styliremis			
1ce3b5c6d85ce967f8677e23e3e9b0be	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ia			
73ee9c570658449be7f2e1840d135aef	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae; g__Oceaniserpentilla; s__Oceaniserpentilla_haliotis			
1816e09570f69294ef9acec1652a8455	d__Bacteria; p__SAR324_clade(Marine_group_B); c__SAR324_clade(Marine_group_B); o__SAR324_clade(Marine_group_B); f__SAR324_clade(Marine_group_B); g__SAR324_clade(Marine_group_B)			
d089e76cb77366eba904ed413876e849	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Prochlorococcus_MIT9313		picopro	
0e775fc1584ed21db02c44461c5e120e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ia			
401a67858704d406087efd35334e84e1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_II; g__Clade_II			
ea1681774a9a9d71bcecb46e4e711164	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus; s__marine_metagenome			
09ef155ae34a2b2dab7bb16aba8b6df1	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Acantharea; order_Acantharea-Group-I; family_Acantharea-Group-I_X; genus_Acantharea-Group-I_XX; species_Acantharea-Group-I_XX_sp.			
bc68c9facbafa6ffe12f1040c534c88b	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Maxillopoda_X; species_Maxillopoda_X_sp.			
6548efdc8303f7de90da35fbf70a01b2	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae			
1af82836b76bafcb5c93ec82c7ef68cb	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Prorocentrales; family_Prorocentraceae; genus_Prorocentrum; species_Prorocentrum_sp.			
13eea987393ec9079bd9805404f0d4b3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ib			
882e0de9056d8d06c0973aa7b116e09e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum			
66b09eeb394778fcb16bf7fe61afa339	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-I; family_Dino-Group-I-Clade-7; genus_Dino-Group-I-Clade-7_X; species_Dino-Group-I-Clade-7_X_sp.			
5ca97e22baeda04ce07b9ad0b1ad8022	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Maxillopoda_X; species_Maxillopoda_X_sp.			
713c13acc57c9192aee8c5a0c948685c	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Cnidaria; order_Cnidaria_X; family_Hydrozoa			
8e9e02f039ac6e45ddfd3217829128bf	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Gymnodiniales; family_Gymnodiniaceae; genus_Gyrodinium; species_Gyrodinium_helveticum			
2ff0a172c72d96fac751f72b803c6ee7	d__Bacteria; p__SAR324_clade(Marine_group_B); c__SAR324_clade(Marine_group_B); o__SAR324_clade(Marine_group_B); f__SAR324_clade(Marine_group_B); g__SAR324_clade(Marine_group_B); s__uncultured_SAR324			
69bfc840c6207d6670e7aa72b240c3fe	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas			
08b8f15971bd4c4721ac30fcbd4bdb4b	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida_X; genus_Spumellarida_XX; species_Spumellarida_XX_sp.			
d98179c6f4ee2c7560b775f2b5208929	kingdom_Eukaryota; supergroup_Alveolata; division_Ciliophora; class_Spirotrichea; order_Strombidiida; family_Tontoniidae_A; genus_Spirotontonia			
13b784fc8d2767f905669b560d614da9	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida_X; genus_Spumellarida_XX; species_Spumellarida_XX_sp.			
532981624dd80f78294d2f7d3671a5ed	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Oithona			
e778ff53d5754eb3f19c850303113827	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda			
532a24f47410330b248b92a921d903d2	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Acantharea; order_Acantharea-Group-I; family_Acantharea-Group-I_X; genus_Acantharea-Group-I_XX; species_Acantharea-Group-I_XX_sp.			
5cb1250cec910e6819b838249878d53a	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I			
e5bef6d7a65c9a889f20b3b9f3ba62fb	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosopumilaceae			
b7880cc0e1e06b8f845fad5b2cbb661e	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_RAD-A; order_RAD-A_X; family_RAD-A_XX; genus_RAD-A_XXX; species_RAD-A_XXX_sp.			
ba10bcab6998359330ae6f0776115ccb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas			
51617017322e10ee8b86116e2483fb49	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__Actinomarinaceae; g__Candidatus_Actinomarina			
0b1c2b9ed02095f223b442c9bdd35006	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__AEGEAN-169_marine_group; g__AEGEAN-169_marine_group; s__metagenome			
b05cdb5292b6608061b8c50c39ab35fc	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Urochordata; order_Urochordata_X; family_Appendicularia; genus_Oikopleura; species_Oikopleura_dioica			
410451306ffd0a1695d714f73b19eaf6	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Oithona; species_Oithona_sp.			
76dfe03cf1770d4ae5c703515096f2e9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiomicrospirales; f__Thioglobaceae; g__SUP05_cluster			
2997f1920aefbb91632b549f2538b73b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ia			
397d22971b04e97d6a32cd0fe1dcbb93	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae			
df2d7ceae336aeeb329ee0908a02700b	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae			
082954faf64cf7786e28bfe515ee9d3a	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida-Group-I; genus_Astrosphaera; species_Astrosphaera_hexagonalis			
c104ba5a3c3ed119dbab8240b1ba1972	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae			
a212eed4e7efe65942d3a241dcb1df93	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Acantharea; order_Acantharea-Group-I; family_Acantharea-Group-I_X; genus_Acantharea-Group-I_XX; species_Acantharea-Group-I_XX_sp.			
9135aad5cc6b65a19711a6b48e3ce800	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II; s__unidentified_archaeon			
908149e506f6b20e63b307c39b344bf2	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida-Group-I; genus_Astrosphaera; species_Astrosphaera_hexagonalis			
e003e5d86129bdc44543a67668d53745	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Maxillopoda_X; species_Maxillopoda_X_sp.			
30a6c4b3119db2c38e80cd632cd5bba5	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-II; family_Dino-Group-II-Clade-22; genus_Dino-Group-II-Clade-22_X; species_Dino-Group-II-Clade-22_X_sp.			
490546ca305bfb2017e21c44fa56d2f5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas			
fd3fea7c47fc64073cab7999d71a5c99	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__Actinomarinaceae; g__Candidatus_Actinomarina			
080e57d61d858b22439e58ea7b465ee3	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-I; family_Dino-Group-I-Clade-2; genus_Dino-Group-I-Clade-2_X; species_Dino-Group-I-Clade-2_X_sp.			
bd9d290822c81ae96c5ca59be29e9bfc	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida-Group-I; genus_Spumellarida-Group-I_X; species_Spumellarida-Group-I_X_sp.			
22f254d6e601aa67bd58a0c35f91841b	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae			
724070d1093e37012c1bf0dfa0d4e406	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae1; g__Alcanivorax			
4c98812256ffc96bbc6a532d8078a80d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_II; g__Clade_II			
68471c59be3e5ffa6f1731b7d6de1cd3	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__Actinomarinaceae; g__Candidatus_Actinomarina; s__uncultured_marine			
3ca06d032236e352fea06a7cdedbd166	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Prorocentrales; family_Prorocentraceae; genus_Prorocentrum; species_Prorocentrum_sp.			
4cab0df7abb88b31989680d38a6e8df1	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Synechococcus_CC9902		picopro	
913b56ade3ba323ea4a6deb71d9b745b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_II; g__Clade_II; s__uncultured_proteobacterium			
ceb316f58c09ac3e9f02ae311b154338	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Prorocentrales; family_Prorocentraceae; genus_Prorocentrum			
f924560383c51a620a9821ce4349d3eb	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda			
cc94b1a24816248265820d862df20a4f	Eukaryota; Archaeplastida; Chlorophyta; Mamiellophyceae; Mamiellales; Bathycoccaceae; Ostreococcus		pico_eu	
625cabfbd66e4f32de52ec86cb441744	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopumilus			
a7b197e43e28a3cc0ca1d147cf4b31ec	kingdom_Eukaryota; supergroup_Archaeplastida; division_Chlorophyta; class_Mamiellophyceae; order_Mamiellales; family_Bathycoccaceae; genus_Ostreococcus; species_Ostreococcus_clade_B			
3b9848bcf6e8ea84a7d5ba080be7fefe	d__Bacteria; p__Marinimicrobia_(SAR406_clade); c__Marinimicrobia_(SAR406_clade); o__Marinimicrobia_(SAR406_clade); f__Marinimicrobia_(SAR406_clade); g__Marinimicrobia_(SAR406_clade); s__marine_metagenome			
12410564eef73c3c877af2b6ea638ba2	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Prochlorococcus_MIT9313		picopro	
f4b6df0eec5e3bf60350496573d13da7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas			
be2a1218787d9ff6f0ab0404c6399ec4	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Oithona			
3abe7b903dd88bcbded7a0569811b25b	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ib			
71a9dfd2400c5a989c74887dcadf1c25	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II; s__unidentified_archaeon			
ace8c1f1c7bb2740070a7e1c3a3de96d	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida-Group-I; genus_Spumellarida-Group-I_X; species_Spumellarida-Group-I_X_sp.			
4f8257e5a38397d186bc493c97412d42	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ib			
8c14284152260668849dd8b0f955f95a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__NS5_marine_group; s__hydrothermal_vent			
00c4c1c65d8669ed9f07abe149f9a01d	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__OCS116_clade; g__OCS116_clade; s__uncultured_marine			
5f9b74cda84dd889db1c6e3035adbaa7	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae			
b0fdd785f6842efa41365a889c794c52	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ib			
3e706c095eaae0cca2544ac7cb2968ab	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Pseudohongiellaceae; g__Pseudohongiella			
da7860c2a58e2a1c4695228366a86244	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae			
3bdb1b23136e9e81d05d89d726e4acb8	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Peridiniales; family_Blastodiniaceae; genus_Blastodinium			
014df9fe1ea26f69886fdf906a357eb4	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus; s__marine_metagenome			
f7b6a808234394e3ac9ebc0f3232bba1	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae		picopro	
719fec3794669fb2a2211c0d98892bd4	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae			
bdf0433d8064ae46714bc7c027a0501f	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida-Group-I; genus_Spumellarida-Group-I_X; species_Spumellarida-Group-I_X_sp.			
9799a02cfa3760bd8b36bc43e57154db	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae			
588253f8c914de60cbb9577946854a39	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ia			
a434e2383af18eae727856a8bbe2c081	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Oithona; species_Oithona_sp.			
e152c17bdbb4e1af93c0180b1fccc627	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__uncultured			
ab8713aab2e3548dfad39f6e82f9ed4d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__SAR86_clade; f__SAR86_clade; g__SAR86_clade; s__uncultured_bacterium			
ee455a0a7cc8c8e536f88600d833ee30	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Acantharea; order_Acantharea-Group-I; family_Acantharea-Group-I_X; genus_Acantharea-Group-I_XX; species_Acantharea-Group-I_XX_sp.			
1c7407c2784f0d8a8ba8f3d247994c0c	Eukaryota; Archaeplastida; Chlorophyta; Mamiellophyceae; Mamiellales; Mamiellaceae		pico_eu	
a11900cceac8b98d8b35b6f4b5e4e8d0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae			
15b4e28e2e78e651ff42b1c6c4e7fb5c	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Prorocentrales; family_Prorocentraceae; genus_Prorocentrum; species_Prorocentrum_sp.			
65818426c1a9431240a966684bb0f3df	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__Actinomarinaceae; g__Candidatus_Actinomarina			
434dee740312178d9073b3c55e607ffd	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Gymnodiniales; family_Chytriodiniaceae; genus_Chytriodinium; species_Chytriodinium_roseum			
3f75af9bba716b458ed2573d8ed7f5cc	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Prochlorococcus_MIT9313		picopro	
c641a1a3686dae2d4c43170613ade725	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Sulfitobacter			
b786f84cbe7a56dbd478b49bbe8e44f3	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-I; family_Dino-Group-I-Clade-2; genus_Dino-Group-I-Clade-2_X; species_Dino-Group-I-Clade-2_X_sp.			
442734a1a5e84abe00daeb34e28edd06	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Gymnodiniales; family_Gymnodiniaceae			
e65380cdc5e3fb57a3be936961071c39	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae1; g__Alcanivorax; s__Alcanivorax_venustensis			
b9d0260e182d32e82cb2793eb7b8325d	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Gymnodiniales; family_Gymnodiniaceae; genus_Gyrodinium; species_Gyrodinium_helveticum			
11b448ff4278444e68bcb5c5a3865da0	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Cnidaria; order_Cnidaria_X; family_Hydrozoa; genus_Cordagalma; species_Cordagalma_cordiforme			
9ded8c371c310dacc99f1babd6651fc3	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus; s__uncultured_archaeon			
93c990453a3e7c58b562c6b7fe392bea	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida-Group-I; genus_Spumellarida-Group-I_X; species_Spumellarida-Group-I_X_sp.			
8d13a21c6fa4455824b63ed8431a8141	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__Actinomarinaceae; g__Candidatus_Actinomarina			
2e010c4f99cfd17bc5ef5e0491e667be	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Gymnodiniales			
7ad60e677624ea28ffdf096d29c52e5e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ib			
2b4841adfe32c7d9bb6bcba12fa8439b	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida_X; genus_Spumellarida_XX; species_Spumellarida_XX_sp.			
8a3e819dfba5a37760eed2c338fd193a	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_RAD-A; order_RAD-A_X; family_RAD-A_XX; genus_RAD-A_XXX; species_RAD-A_XXX_sp.			
061d845d3486316712bccde01a28197a	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Dinophysiales; family_Oxyphysiaceae; genus_Phalachroma			
1948c923ff6f3d20c3bdea3ca6c4688e	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosopumilaceae			
c10874639ea8a315cac12a3e01b31b5a	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus			
bb747f1c68faf1d195ff8dc6d9d66698	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosopumilaceae			
582278f9172d2bea9566585efc0efaac	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus			
21292bc9e3e4de541f96c48e93ec4c13	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Acantharea; order_Acantharea-Group-II; family_Acantharea-Group-II_X; genus_Acantharea-Group-II_XX; species_Acantharea-Group-II_XX_sp.			
fb8b7d4f560083b68563f422cace75a1	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosopumilaceae; s__uncultured_thaumarchaeote			
66bdd3c94b3b8a67626c85aa1bf27dc2	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Gymnodiniales; family_Gymnodiniaceae; genus_Gyrodinium			
72bef56c72d8dd34313afdc5771d5320	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__Actinomarinaceae; g__Candidatus_Actinomarina			
750aa8ae079867edc31d5618f84c890b	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-I; family_Dino-Group-I-Clade-1; genus_Dino-Group-I-Clade-1_X; species_Dino-Group-I-Clade-1_X_sp.			
90c6458f18a8156e4767b56cdfa88701	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae			
2103d47eb972e09e56ce313418f80dd2	kingdom_Eukaryota; supergroup_Archaeplastida; division_Chlorophyta; class_Mamiellophyceae; order_Mamiellales; family_Bathycoccaceae; genus_Bathycoccus; species_Bathycoccus_prasinos			
af3458d94659411090b85e5060d08f8d	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida-Group-I			
6d5f124949e4efa81798e5594d10a236	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Arthropoda; order_Crustacea; family_Maxillopoda; genus_Calocalanus; species_Calocalanus_sp.			
195d16225396d4466eaf0d521cb48728	d__Bacteria; p__SAR324_clade(Marine_group_B); c__SAR324_clade(Marine_group_B); o__SAR324_clade(Marine_group_B); f__SAR324_clade(Marine_group_B); g__SAR324_clade(Marine_group_B)			
8852e538212c224726292171f3bd4859	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Puniceispirillales; f__SAR116_clade; g__SAR116_clade; s__marine_metagenome			
165d53a3627c5b13dc0e4d43a9585b35	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Cyanobiaceae; g__Prochlorococcus_MIT9313		picopro	
46a5cf6166954fea9816191e939e4bd0	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida-Group-I; genus_Astrosphaera; species_Astrosphaera_hexagonalis			
688958852d47c0654c2409ee986a49e9	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__SAR86_clade; f__SAR86_clade; g__SAR86_clade			
